Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,37.35,37.4,37.1,37.16,30632200.0,32.29,0.0,32.29,32.29
2014-01-03,2014,1,3,Friday,00,2014-00,37.2,37.22,36.6,36.91,31134800.0,32.08,-0.006727692701328114,32.185,32.185
2014-01-06,2014,1,6,Monday,01,2014-01,36.85,36.89,36.11,36.13,43603700.0,31.4,-0.0211325318828971,31.923333333333336,31.923333333333336
2014-01-07,2014,1,7,Tuesday,01,2014-01,36.33,36.49,36.21,36.41,35802800.0,31.64,0.007749782160010543,31.852500000000003,31.852500000000003
2014-01-08,2014,1,8,Wednesday,01,2014-01,36.0,36.14,35.58,35.76,59971700.0,31.08,-0.017852158977185062,31.698,31.698
2014-01-09,2014,1,9,Thursday,01,2014-01,35.88,35.91,35.4,35.53,36516300.0,30.88,-0.006431824131093999,31.561666666666667,31.561666666666667
2014-01-10,2014,1,10,Friday,01,2014-01,35.9,36.15,35.75,36.04,40548800.0,31.32,0.014354052207369516,31.527142857142856,31.527142857142856
2014-01-13,2014,1,13,Monday,02,2014-02,35.99,36.02,34.83,34.98,45901900.0,30.4,-0.029411743212100827,31.38625,31.38625
2014-01-14,2014,1,14,Tuesday,02,2014-02,34.73,35.88,34.63,35.78,41623300.0,31.09,0.022870422814291524,31.353333333333335,31.353333333333335
2014-01-15,2014,1,15,Wednesday,02,2014-02,35.9,36.79,35.85,36.76,44812600.0,31.95,0.027389315280919924,31.413,31.413
2014-01-16,2014,1,16,Thursday,02,2014-02,36.69,37.0,36.31,36.89,38018700.0,32.06,0.0035366997906998154,31.471818181818183,31.471818181818183
2014-01-17,2014,1,17,Friday,02,2014-02,36.83,36.83,36.15,36.38,46267500.0,31.62,-0.013824570588830243,31.484166666666667,31.484166666666667
2014-01-21,2014,1,21,Tuesday,03,2014-03,36.82,36.82,36.06,36.17,31567300.0,31.43,-0.005772844296215274,31.48,31.48
2014-01-22,2014,1,22,Wednesday,03,2014-03,36.26,36.32,35.75,35.93,21904300.0,31.22,-0.00663531524862182,31.461428571428574,31.461428571428574
2014-01-23,2014,1,23,Thursday,03,2014-03,36.09,36.13,35.52,36.06,43954000.0,31.34,0.0036182765573271602,31.393571428571427,31.453333333333333
2014-01-24,2014,1,24,Friday,03,2014-03,37.45,37.55,36.53,36.81,76395500.0,31.99,0.020798389067041567,31.38714285714286,31.486875
2014-01-27,2014,1,27,Monday,04,2014-04,36.87,36.89,35.98,36.03,44420800.0,31.31,-0.021189526532178538,31.380714285714287,31.476470588235294
2014-01-28,2014,1,28,Tuesday,04,2014-04,36.12,36.39,35.75,36.27,36205500.0,31.52,0.006660913360063692,31.372142857142858,31.47888888888889
2014-01-29,2014,1,29,Wednesday,04,2014-04,35.98,36.88,35.9,36.66,52745900.0,31.86,0.0107528931349552,31.427857142857146,31.498947368421053
2014-01-30,2014,1,30,Thursday,04,2014-04,36.79,36.88,36.23,36.86,35036300.0,32.03,0.005455451437214487,31.51000000000001,31.5255
2014-01-31,2014,1,31,Friday,04,2014-04,36.95,37.89,36.56,37.84,93162300.0,32.88,0.02658686625265161,31.621428571428577,31.59
2014-02-03,2014,2,3,Monday,05,2014-05,37.74,37.99,36.43,36.48,64063100.0,31.7,-0.03594034083691777,31.714285714285722,31.595000000000002
2014-02-04,2014,2,4,Tuesday,05,2014-05,36.97,37.19,36.25,36.35,54697900.0,31.59,-0.0035637833837712796,31.750000000000007,31.594782608695656
2014-02-05,2014,2,5,Wednesday,05,2014-05,36.29,36.47,35.8,35.82,55814400.0,31.13,-0.014580663797183258,31.69142857142858,31.57541666666667
2014-02-06,2014,2,6,Thursday,05,2014-05,35.8,36.25,35.69,36.18,35351800.0,31.44,0.01005000924304289,31.647142857142864,31.570000000000004
2014-02-07,2014,2,7,Friday,05,2014-05,36.32,36.59,36.01,36.56,33260500.0,31.77,0.010503504433857946,31.65785714285715,31.57769230769231
2014-02-10,2014,2,10,Monday,06,2014-06,36.63,36.8,36.29,36.8,26767000.0,31.98,0.0065647120791554325,31.697142857142865,31.592592592592595
2014-02-11,2014,2,11,Tuesday,06,2014-06,36.88,37.26,36.86,37.17,32141400.0,32.3,0.010054154915587032,31.774285714285725,31.617857142857144
2014-02-12,2014,2,12,Wednesday,06,2014-06,37.35,37.6,37.3,37.47,27051800.0,32.56,0.008070986608230024,31.861428571428583,31.65034482758621
2014-02-13,2014,2,13,Thursday,06,2014-06,37.33,37.86,37.33,37.61,37635500.0,32.68,0.003736375041426987,31.9107142857143,31.68466666666667
2014-02-14,2014,2,14,Friday,06,2014-06,37.39,37.78,37.33,37.62,31407500.0,32.69,0.0002655236505708647,32.009285714285724,31.71709677419355
2014-02-18,2014,2,18,Tuesday,07,2014-07,37.63,37.78,37.41,37.42,32834000.0,32.76,0.002142644613634337,32.09785714285716,31.7496875
2014-02-19,2014,2,19,Wednesday,07,2014-07,37.22,37.75,37.21,37.51,29750400.0,32.84,0.0024052777788450275,32.16785714285715,31.78272727272727
2014-02-20,2014,2,20,Thursday,07,2014-07,37.57,37.87,37.4,37.75,27526100.0,33.05,0.006398451158059704,32.2407142857143,31.819999999999997
2014-02-21,2014,2,21,Friday,07,2014-07,37.94,38.35,37.86,37.98,38021300.0,33.25,0.0060924313252559426,32.267142857142865,31.86085714285714
2014-02-24,2014,2,24,Monday,08,2014-08,37.69,37.98,37.54,37.69,32085100.0,33.0,-0.007635528333591823,32.36000000000001,31.8925
