Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,206.38,206.88,204.18,205.43,121465900.0,184.26,0.0,184.26,184.26
2015-01-05,2015,1,5,Monday,01,2015-01,204.17,204.37,201.35,201.72,169632600.0,180.93,-0.01805968989898543,182.595,182.595
2015-01-06,2015,1,6,Tuesday,01,2015-01,202.09,202.72,198.86,199.82,209151400.0,179.23,-0.009418857702594874,181.47333333333333,181.47333333333333
2015-01-07,2015,1,7,Wednesday,01,2015-01,201.42,202.72,200.88,202.31,125346700.0,181.46,0.012461018345960362,181.47,181.47
2015-01-08,2015,1,8,Thursday,01,2015-01,204.01,206.16,203.99,205.9,147217800.0,184.68,0.017744963201324904,182.112,182.112
2015-01-09,2015,1,9,Friday,01,2015-01,206.4,206.42,203.51,204.25,158567300.0,183.2,-0.008013596948403534,182.29333333333332,182.29333333333332
2015-01-12,2015,1,12,Monday,02,2015-02,204.41,204.6,201.92,202.65,144396100.0,181.77,-0.007833628858418096,182.21857142857144,182.21857142857144
2015-01-13,2015,1,13,Tuesday,02,2015-02,204.12,205.48,200.51,202.08,214553300.0,181.26,-0.0028125645343536343,182.09875,182.09875
2015-01-14,2015,1,14,Wednesday,02,2015-02,199.65,201.1,198.57,200.86,192991100.0,180.16,-0.006037164160961006,181.88333333333333,181.88333333333333
2015-01-15,2015,1,15,Thursday,02,2015-02,201.63,202.01,198.88,199.02,176613900.0,178.51,-0.009160634814376012,181.546,181.546
2015-01-16,2015,1,16,Friday,02,2015-02,198.77,201.82,198.55,201.63,211879600.0,180.85,0.013114244591919233,181.48272727272726,181.48272727272726
2015-01-20,2015,1,20,Tuesday,03,2015-03,202.4,202.72,200.17,202.06,130991100.0,181.24,0.002132749885591867,181.4625,181.4625
2015-01-21,2015,1,21,Wednesday,03,2015-03,201.5,203.66,200.94,203.08,122942700.0,182.15,0.005047912950632449,181.51538461538465,181.51538461538465
2015-01-22,2015,1,22,Thursday,03,2015-03,203.99,206.26,202.33,206.1,174356000.0,184.86,0.014870904296103271,181.75428571428574,181.75428571428574
2015-01-23,2015,1,23,Friday,03,2015-03,205.79,206.1,204.81,204.97,117516800.0,183.85,-0.005482762323689494,181.72500000000005,181.89400000000003
2015-01-26,2015,1,26,Monday,04,2015-04,204.71,205.56,203.85,205.45,92009700.0,184.28,0.002341924650896221,181.96428571428578,182.04312500000003
2015-01-27,2015,1,27,Tuesday,04,2015-04,202.97,204.12,201.74,202.74,134044600.0,181.85,-0.013190604109315274,182.15142857142862,182.03176470588238
2015-01-28,2015,1,28,Wednesday,04,2015-04,204.17,204.29,199.91,200.14,168514300.0,179.52,-0.012824360839846949,182.0128571428572,181.89222222222224
