Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,00,2015-00,465.51,468.85,457.62,462.1,51700.0,444.64,0.0,444.64,444.64
2015-01-05,2015,1,5,Monday,01,2015-01,458.6,458.6,452.03,452.12,53700.0,435.03,-0.021597144183365558,439.835,439.835
2015-01-06,2015,1,6,Tuesday,01,2015-01,453.81,455.25,445.98,449.46,45600.0,432.47,-0.0058833366911780205,437.37999999999994,437.37999999999994
2015-01-07,2015,1,7,Wednesday,01,2015-01,452.16,453.97,444.05,451.15,48700.0,434.1,0.0037600622327875755,436.55999999999995,436.55999999999995
2015-01-08,2015,1,8,Thursday,01,2015-01,455.36,459.24,450.71,454.98,72400.0,437.79,0.00848945203564,436.8059999999999,436.8059999999999
2015-01-09,2015,1,9,Friday,01,2015-01,454.98,456.55,452.25,454.07,40600.0,436.91,-0.0020001600518412266,436.82333333333327,436.82333333333327
2015-01-12,2015,1,12,Monday,02,2015-02,454.74,463.28,450.36,451.91,49100.0,434.83,-0.00475690592337219,436.53857142857134,436.53857142857134
2015-01-13,2015,1,13,Tuesday,02,2015-02,456.5,459.56,446.04,448.68,47600.0,431.72,-0.0071474611181652214,435.93625,435.93625
2015-01-14,2015,1,14,Wednesday,02,2015-02,443.75,447.74,436.44,443.02,70700.0,426.28,-0.012614872074541705,434.8633333333333,434.8633333333333
2015-01-15,2015,1,15,Thursday,02,2015-02,443.01,444.02,437.63,440.61,42100.0,423.96,-0.005439906026922792,433.77299999999997,433.77299999999997
2015-01-16,2015,1,16,Friday,02,2015-02,438.5,454.69,438.5,453.34,50600.0,436.21,0.02889175059223592,433.9945454545454,433.9945454545454
2015-01-20,2015,1,20,Tuesday,03,2015-03,451.68,459.79,442.89,447.08,52100.0,430.18,-0.013808587062695388,433.6766666666667,433.6766666666667
2015-01-21,2015,1,21,Wednesday,03,2015-03,447.78,451.97,442.19,445.47,54100.0,428.63,-0.003601166181088966,433.28846153846155,433.28846153846155
2015-01-22,2015,1,22,Thursday,03,2015-03,449.53,457.88,445.88,455.87,37300.0,438.64,0.023346118444734998,433.6707142857143,433.6707142857143
2015-01-23,2015,1,23,Friday,03,2015-03,457.14,461.58,450.23,454.33,29800.0,437.16,-0.0033781123090328435,433.13642857142855,433.90333333333336
2015-01-26,2015,1,26,Monday,04,2015-04,451.82,459.49,449.15,457.91,49400.0,440.6,0.007879799428364365,433.5342857142858,434.32187500000003
2015-01-27,2015,1,27,Tuesday,04,2015-04,451.5,456.88,450.68,454.57,35100.0,437.39,-0.007294080913251344,433.8857142857143,434.5023529411765
2015-01-28,2015,1,28,Wednesday,04,2015-04,455.19,458.0,446.97,448.72,46900.0,431.76,-0.012869281567444601,433.71857142857147,434.3500000000001
2015-01-29,2015,1,29,Thursday,04,2015-04,447.94,449.17,443.71,449.11,54800.0,432.14,0.0008690995800388901,433.31500000000005,434.23368421052635
2015-01-30,2015,1,30,Friday,04,2015-04,450.0,450.0,440.51,442.09,66600.0,425.38,-0.015630843814299578,432.4914285714286,433.791
2015-02-02,2015,2,2,Monday,05,2015-05,444.71,451.01,442.27,450.56,63200.0,433.53,0.01915899600650972,432.3985714285715,433.77857142857147
2015-02-03,2015,2,3,Tuesday,05,2015-05,455.07,460.0,449.73,459.94,57500.0,442.56,0.020818470179236437,433.1728571428572,434.1777272727273
2015-02-04,2015,2,4,Wednesday,05,2015-05,462.8,464.59,460.16,463.86,45500.0,446.33,0.008522840503669249,434.6050000000001,434.70608695652174
2015-02-05,2015,2,5,Thursday,05,2015-05,465.15,469.83,463.68,469.79,39800.0,452.04,0.012784049923235896,436.6107142857144,435.42833333333334
2015-02-06,2015,2,6,Friday,05,2015-05,464.95,471.0,459.75,467.56,42100.0,449.89,-0.004746796666690312,437.5878571428572,436.0068
2015-02-09,2015,2,9,Monday,06,2015-06,465.49,468.97,463.99,466.22,35800.0,448.6,-0.002865962365742436,438.9035714285715,436.49115384615385
2015-02-10,2015,2,10,Tuesday,06,2015-06,470.6,471.32,467.41,469.33,43600.0,451.59,0.006670728415406391,440.5435714285715,437.0503703703704
2015-02-11,2015,2,11,Wednesday,06,2015-06,469.09,478.65,468.18,474.81,31800.0,456.87,0.011676193531985346,441.84571428571434,437.75821428571436
